config,qid,citation_precision,bibliography_match_rate,orphan_rate,total_citations,bibliography_entries,candidate_pool_size,path
M2b,Q82,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q082_method2b_exp_20260413_100654.md
M2b,Q83,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q083_method2b_exp_20260413_101035.md
M2b,Q84,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q084_method2b_exp_20260413_101415.md
M2b,Q85,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q085_method2b_exp_20260413_101643.md
M2b,Q86,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q086_method2b_exp_20260413_101931.md
M2b,Q87,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q087_method2b_exp_20260413_102204.md
M2b,Q88,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q088_method2b_exp_20260413_102440.md
M2b,Q89,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q089_method2b_exp_20260413_102757.md
M2b,Q08,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q08_method2b_exp_20260412_231802.md
M2b,Q90,0.25,0.25,0.75,8,8,8,data\expanded_outputs\method2b\Q090_method2b_exp_20260413_103149.md
M2b,Q91,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q091_method2b_exp_20260413_103602.md
M2b,Q92,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q092_method2b_exp_20260413_104016.md
M2b,Q93,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q093_method2b_exp_20260413_104504.md
M2b,Q94,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q094_method2b_exp_20260413_121428.md
M2b,Q95,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q095_method2b_exp_20260413_105024.md
M2b,Q96,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q096_method2b_exp_20260413_105323.md
M2b,Q97,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q097_method2b_exp_20260413_105651.md
M2b,Q98,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q098_method2b_exp_20260413_110018.md
M2b,Q99,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q099_method2b_exp_20260413_110427.md
M2b,Q09,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q09_method2b_exp_20260412_232147.md
M2b,Q100,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q100_method2b_exp_20260413_110703.md
M2b,Q101,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q101_method2b_exp_20260413_111046.md
M2b,Q102,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q102_method2b_exp_20260413_111426.md
M2b,Q103,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q103_method2b_exp_20260413_111754.md
M2b,Q104,1.0,1.0,0.375,5,8,8,data\expanded_outputs\method2b\Q104_method2b_exp_20260413_112136.md
M2b,Q105,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q105_method2b_exp_20260413_112519.md
M2b,Q106,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q106_method2b_exp_20260413_112847.md
M2b,Q107,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q107_method2b_exp_20260413_113237.md
M2b,Q108,0.25,0.25,0.75,8,8,8,data\expanded_outputs\method2b\Q108_method2b_exp_20260413_113556.md
M2b,Q109,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q109_method2b_exp_20260413_114026.md
M2b,Q10,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q10_method2b_exp_20260412_232551.md
M2b,Q110,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q110_method2b_exp_20260413_114228.md
M2b,Q111,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q111_method2b_exp_20260413_115613.md
M2b,Q112,0.625,0.7142857142857143,0.375,8,7,8,data\expanded_outputs\method2b\Q112_method2b_exp_20260413_120004.md
M2b,Q113,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q113_method2b_exp_20260413_120342.md
M2b,Q114,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q114_method2b_exp_20260413_120705.md
M2b,Q115,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q115_method2b_exp_20260413_121041.md
M2b,Q116,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q116_method2b_exp_20260413_121447.md
M2b,Q117,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q117_method2b_exp_20260413_121914.md
M2b,Q118,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q118_method2b_exp_20260413_122223.md
M2b,Q119,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q119_method2b_exp_20260413_122546.md
M2b,Q11,0.0,0.0,1.0,8,0,8,data\expanded_outputs\method2b\Q11_method2b_exp_20260412_232851.md
M2b,Q120,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q120_method2b_exp_20260413_122933.md
M2b,Q121,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q121_method2b_exp_20260413_123253.md
M2b,Q122,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q122_method2b_exp_20260413_123522.md
M2b,Q123,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q123_method2b_exp_20260413_124919.md
M2b,Q124,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q124_method2b_exp_20260413_125646.md
M2b,Q125,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q125_method2b_exp_20260413_125955.md
M2b,Q126,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q126_method2b_exp_20260413_130331.md
M2b,Q127,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q127_method2b_exp_20260413_130720.md
M2b,Q128,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q128_method2b_exp_20260413_131026.md
M2b,Q129,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q129_method2b_exp_20260413_131341.md
M2b,Q12,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q12_method2b_exp_20260412_233225.md
M2b,Q130,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q130_method2b_exp_20260413_131654.md
M2b,Q131,1.0,0.75,0.5,4,8,8,data\expanded_outputs\method2b\Q131_method2b_exp_20260413_132010.md
M2b,Q132,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q132_method2b_exp_20260413_132418.md
M2b,Q133,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q133_method2b_exp_20260413_132812.md
M2b,Q134,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q134_method2b_exp_20260413_133237.md
M2b,Q135,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q135_method2b_exp_20260413_133630.md
M2b,Q136,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q136_method2b_exp_20260413_133946.md
M2b,Q137,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q137_method2b_exp_20260413_134309.md
M2b,Q138,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q138_method2b_exp_20260413_134651.md
M2b,Q139,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q139_method2b_exp_20260413_135015.md
M2b,Q13,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q13_method2b_exp_20260412_233409.md
M2b,Q140,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q140_method2b_exp_20260413_135408.md
M2b,Q141,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q141_method2b_exp_20260413_135532.md
M2b,Q142,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q142_method2b_exp_20260413_135837.md
